index,division,state,namesake,created,abolished,isfed,ispm,iscol,isfem,isind,isgeo,isaus
GRWY,Greenway,New South Wales,"Francis Greenway, 1777–1837",11/10/1984,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
GYDL,Grayndler,New South Wales,"Edward Grayndler OBE, 1867–1943",11/05/2049,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
HGHS,Hughes,New South Wales,"Rt Hon. William Morris Hughes CH KC, 1862–1952",30/08/1955,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
HGNS,Higgins,Victoria,"Hon. Henry Bournes Higgins KC, 1851–1929",11/05/2049,17/10/2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
HKLR,Hinkler,Queensland,"Herbert John ""Bert"" Hinkler DSM AFC, 1892–1933",13/09/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
HMSH,Hindmarsh,South Australia,"Sir John Hindmarsh KH RN, 1785–1860",02/10/2003,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HNTR,Hunter,New South Wales,"Hunter River/Coquun, Wonnarua Country",11/12/2000,,TRUE,,,,,TRUE,FALSE
HOLT,Holt,Victoria,"Rt Hon. Harold Edward Holt CH, 1908–67",21/11/1968,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
HRBT,Herbert,Queensland,"Sir Robert George Wyndham Herbert, 1831–1905",28/12/2000,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HSLK,Hasluck,Western Australia,"Rt Hon. Sir Paul Meernaa Caedwalla Hasluck KG GCMG GCVO, 1905–93; Dame Alexandra, 1908-",20/11/2001,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
HTHM,Hotham,Victoria,"Sir Charles Hotham RN KCB, 1806–55",21/11/1968,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
