index,division,state,namesake,created,abolished,isfed,ispm,iscol,isfem,isind,isgeo,isaus,islinked
MBYN,Maribyrnong,Victoria,"Maribyrnong River / Mirrangbamurn, Wurundjeri Country",13/07/1906,,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,FALSE
MAYO,Mayo,South Australia,"Helen Mary Mayo OBE, 1878–1967",03/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
MCEW,McEwen,Victoria,"Rt Hon Sir John McEwen GCMG CH, 1900–80",14/09/1984,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
MMHN,McMahon,New South Wales,"Rt Hon Sir William McMahon GCMG CH, 1908–88",22/12/2009,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
MPHS,McPherson,Queensland,"McPherson Range / Woonoongoora, Bundjalung & Yugambeh Country",11/05/1949,,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,FALSE
MELB,Melbourne,Victoria,"City of Melbourne / Naarm, Wurundjeri Country",08/10/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
MNZS,Menzies,Victoria,"Rt Hon Sir Robert Gordon Menzies KT AK CH QC FAA FRS, 1894–1978",14/09/1984,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
MTCH,Mitchell,New South Wales,"Lt Col Sir Thomas Livingstone Mitchell kb, 1792–1855",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
MNSH,Monash,Victoria,"Gen Sir John Monash GCMG KCB VD, 1865–1931",13/07/2018,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
MCRF,Moncrieff,Queensland,"Gladys Lillian Moncrieff OBE, 1892–1976",13/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
MOOR,Moore,Western Australia,"George Fletcher Moore, 1798–1886",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
MRTN,Moreton,Queensland,"Moreton Bay / Quandamooka, Quandamooka Country",28/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,FALSE
NENG,New England,New South Wales,"New England region, Kamilaroi Country",11/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
NEWC,Newcastle,New South Wales,"City of Newcastle / Mulubinba,  Awabakal & Worimi Country",11/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
